,gender,race/ethnicity,parental level of education,lunch,test preparation course,math score,reading score,writing score,Average_Score
208,female,group B,some college,free/reduced,none,74,81,76,77.0
209,female,group B,some college,free/reduced,none,58,61,66,61.666666666666664
210,male,group D,some high school,free/reduced,completed,80,79,79,79.33333333333333
211,male,group C,some college,free/reduced,none,35,28,27,30.0
212,female,group C,high school,free/reduced,none,42,62,60,54.666666666666664
213,male,group C,associate's degree,free/reduced,completed,60,51,56,55.666666666666664
214,male,group E,high school,standard,completed,87,91,81,86.33333333333333
215,male,group B,some high school,standard,completed,84,83,75,80.66666666666667
216,female,group E,associate's degree,free/reduced,completed,83,86,88,85.66666666666667
217,female,group C,high school,free/reduced,none,34,42,39,38.333333333333336
218,male,group B,high school,free/reduced,none,66,77,70,71.0
219,male,group B,some high school,standard,completed,61,56,56,57.666666666666664
220,female,group D,high school,standard,completed,56,68,74,66.0
221,male,group B,associate's degree,standard,none,87,85,73,81.66666666666667
222,female,group C,some high school,free/reduced,none,55,65,62,60.666666666666664
223,male,group D,some high school,standard,none,86,80,75,80.33333333333333
224,female,group B,associate's degree,standard,completed,52,66,73,63.666666666666664
225,female,group E,master's degree,free/reduced,none,45,56,54,51.666666666666664
226,female,group C,some college,standard,none,72,72,71,71.66666666666667
227,male,group D,high school,standard,none,57,50,54,53.666666666666664
228,male,group A,some high school,free/reduced,none,68,72,64,68.0
229,female,group C,some college,standard,completed,88,95,94,92.33333333333333
230,male,group D,some college,standard,none,76,64,66,68.66666666666667
231,male,group C,associate's degree,standard,none,46,43,42,43.666666666666664
232,female,group B,bachelor's degree,standard,none,67,86,83,78.66666666666667
233,male,group E,some high school,standard,none,92,87,78,85.66666666666667
234,male,group C,bachelor's degree,standard,completed,83,82,84,83.0
235,male,group D,associate's degree,standard,none,80,75,77,77.33333333333333
236,male,group D,bachelor's degree,free/reduced,none,63,66,67,65.33333333333333
237,female,group D,some high school,standard,completed,64,60,74,66.0
238,male,group B,some college,standard,none,54,52,51,52.333333333333336
239,male,group C,associate's degree,standard,none,84,80,80,81.33333333333333
240,male,group D,high school,free/reduced,completed,73,68,66,69.0
241,female,group E,bachelor's degree,standard,none,80,83,83,82.0
242,female,group D,high school,standard,none,56,52,55,54.333333333333336
243,male,group E,some college,standard,none,59,51,43,51.0
244,male,group D,some high school,standard,none,75,74,69,72.66666666666667
245,male,group C,associate's degree,standard,none,85,76,71,77.33333333333333
246,male,group E,associate's degree,standard,none,89,76,74,79.66666666666667
247,female,group B,high school,standard,completed,58,70,68,65.33333333333333
248,female,group B,high school,standard,none,65,64,62,63.666666666666664
249,male,group C,high school,standard,none,68,60,53,60.333333333333336
250,male,group A,some high school,standard,completed,47,49,49,48.333333333333336
251,female,group D,some college,free/reduced,none,71,83,83,79.0
252,female,group B,some high school,standard,completed,60,70,70,66.66666666666667
253,male,group D,master's degree,standard,none,80,80,72,77.33333333333333
254,male,group D,high school,standard,none,54,52,52,52.666666666666664
255,female,group E,some college,standard,none,62,73,70,68.33333333333333
256,female,group C,associate's degree,free/reduced,none,64,73,68,68.33333333333333
257,male,group C,associate's degree,standard,completed,78,77,77,77.33333333333333
258,female,group B,some college,standard,none,70,75,78,74.33333333333333
259,female,group C,master's degree,free/reduced,completed,65,81,81,75.66666666666667
260,female,group C,some high school,free/reduced,completed,64,79,77,73.33333333333333
261,male,group C,some college,standard,completed,79,79,78,78.66666666666667
262,female,group C,some high school,free/reduced,none,44,50,51,48.333333333333336
263,female,group E,high school,standard,none,99,93,90,94.0
264,male,group D,high school,standard,none,76,73,68,72.33333333333333
265,male,group D,some high school,free/reduced,none,59,42,41,47.333333333333336
266,female,group C,bachelor's degree,standard,none,63,75,81,73.0
267,female,group D,high school,standard,none,69,72,77,72.66666666666667
268,female,group D,associate's degree,standard,completed,88,92,95,91.66666666666667
269,female,group E,some college,free/reduced,none,71,76,70,72.33333333333333
270,male,group C,bachelor's degree,standard,none,69,63,61,64.33333333333333
271,male,group C,some college,standard,none,58,49,42,49.666666666666664
272,female,group D,associate's degree,free/reduced,none,47,53,58,52.666666666666664
273,female,group D,some college,standard,none,65,70,71,68.66666666666667
274,male,group B,some college,standard,completed,88,85,76,83.0
275,male,group C,bachelor's degree,standard,none,83,78,73,78.0
276,female,group C,some high school,standard,completed,85,92,93,90.0
277,female,group E,high school,standard,completed,59,63,75,65.66666666666667
278,female,group C,some high school,free/reduced,none,65,86,80,77.0
279,male,group B,bachelor's degree,free/reduced,none,73,56,57,62.0
280,male,group D,high school,standard,none,53,52,42,49.0
281,male,group D,high school,standard,none,45,48,46,46.333333333333336
282,female,group D,bachelor's degree,free/reduced,none,73,79,84,78.66666666666667
283,female,group D,some college,free/reduced,completed,70,78,78,75.33333333333333
284,female,group B,some high school,standard,none,37,46,46,43.0
285,male,group B,associate's degree,standard,completed,81,82,82,81.66666666666667
286,male,group E,associate's degree,standard,completed,97,82,88,89.0
287,female,group B,some high school,standard,none,67,89,82,79.33333333333333
288,male,group B,bachelor's degree,free/reduced,none,88,75,76,79.66666666666667
289,male,group E,some high school,standard,completed,77,76,77,76.66666666666667
290,male,group C,associate's degree,standard,none,76,70,68,71.33333333333333
291,male,group D,some high school,standard,none,86,73,70,76.33333333333333
292,male,group C,some high school,standard,completed,63,60,57,60.0
293,female,group E,bachelor's degree,standard,none,65,73,75,71.0
294,male,group D,high school,free/reduced,completed,78,77,80,78.33333333333333
295,male,group B,associate's degree,free/reduced,none,67,62,60,63.0
296,male,group A,some high school,standard,completed,46,41,43,43.333333333333336
297,male,group E,associate's degree,standard,completed,71,74,68,71.0
298,male,group C,high school,free/reduced,completed,40,46,50,45.333333333333336
299,male,group D,associate's degree,free/reduced,none,90,87,75,84.0
300,male,group A,some college,free/reduced,completed,81,78,81,80.0
301,male,group D,some high school,free/reduced,none,56,54,52,54.0
302,female,group C,associate's degree,standard,completed,67,84,81,77.33333333333333
303,male,group B,associate's degree,standard,none,80,76,64,73.33333333333333
304,female,group C,associate's degree,standard,completed,74,75,83,77.33333333333333
305,male,group A,some college,standard,none,69,67,69,68.33333333333333
306,male,group E,some college,standard,completed,99,87,81,89.0
307,male,group C,some high school,standard,none,51,52,44,49.0
308,female,group B,associate's degree,free/reduced,none,53,71,67,63.666666666666664
309,female,group D,high school,free/reduced,none,49,57,52,52.666666666666664
310,female,group B,associate's degree,standard,none,73,76,80,76.33333333333333
311,male,group B,bachelor's degree,standard,none,66,60,57,61.0
312,male,group D,bachelor's degree,standard,completed,67,61,68,65.33333333333333
313,female,group C,associate's degree,free/reduced,completed,68,67,69,68.0
314,female,group C,bachelor's degree,standard,completed,59,64,75,66.0
315,male,group C,high school,standard,none,71,66,65,67.33333333333333
316,female,group D,master's degree,standard,completed,77,82,91,83.33333333333333
317,male,group C,associate's degree,standard,none,83,72,78,77.66666666666667
318,male,group B,bachelor's degree,standard,none,63,71,69,67.66666666666667
319,female,group D,associate's degree,free/reduced,none,56,65,63,61.333333333333336
320,female,group C,high school,free/reduced,completed,67,79,84,76.66666666666667
321,female,group E,high school,standard,none,75,86,79,80.0
322,female,group C,some college,standard,none,71,81,80,77.33333333333333
323,female,group C,some high school,free/reduced,none,43,53,53,49.666666666666664
324,female,group C,high school,free/reduced,none,41,46,43,43.333333333333336
325,female,group C,some college,standard,none,82,90,94,88.66666666666667
326,male,group C,some college,standard,none,61,61,62,61.333333333333336
327,male,group A,some college,free/reduced,none,28,23,19,23.333333333333332
328,male,group C,associate's degree,standard,completed,82,75,77,78.0
329,female,group B,some high school,standard,none,41,55,51,49.0
330,male,group C,high school,standard,none,71,60,61,64.0
331,male,group C,associate's degree,standard,none,47,37,35,39.666666666666664
332,male,group E,associate's degree,standard,completed,62,56,53,57.0
333,male,group B,associate's degree,standard,none,90,78,81,83.0
334,female,group C,bachelor's degree,standard,none,83,93,95,90.33333333333333
335,female,group B,some college,free/reduced,none,61,68,66,65.0
336,male,group D,some high school,standard,completed,76,70,69,71.66666666666667
337,male,group C,associate's degree,standard,none,49,51,43,47.666666666666664
338,female,group B,some high school,free/reduced,none,24,38,27,29.666666666666668
339,female,group D,some high school,free/reduced,completed,35,55,60,50.0
340,male,group C,high school,free/reduced,none,58,61,52,57.0
341,female,group C,high school,standard,none,61,73,63,65.66666666666667
342,female,group B,high school,standard,completed,69,76,74,73.0
343,male,group D,associate's degree,standard,completed,67,72,67,68.66666666666667
344,male,group D,some college,standard,none,79,73,67,73.0
345,female,group C,high school,standard,none,72,80,75,75.66666666666667
346,male,group B,some college,standard,none,62,61,57,60.0
347,female,group C,bachelor's degree,standard,completed,77,94,95,88.66666666666667
348,male,group D,high school,free/reduced,none,75,74,66,71.66666666666667
349,male,group E,associate's degree,standard,none,87,74,76,79.0
350,female,group B,bachelor's degree,standard,none,52,65,69,62.0
351,male,group E,some college,standard,none,66,57,52,58.333333333333336
352,female,group C,some college,standard,completed,63,78,80,73.66666666666667
353,female,group C,associate's degree,standard,none,46,58,57,53.666666666666664
354,female,group C,some college,standard,none,59,71,70,66.66666666666667
355,female,group B,bachelor's degree,standard,none,61,72,70,67.66666666666667
356,male,group A,associate's degree,standard,none,63,61,61,61.666666666666664
357,female,group C,some college,free/reduced,completed,42,66,69,59.0
358,male,group D,some college,free/reduced,none,59,62,61,60.666666666666664
359,female,group D,some college,standard,none,80,90,89,86.33333333333333
360,female,group B,high school,standard,none,58,62,59,59.666666666666664
361,male,group B,some high school,standard,completed,85,84,78,82.33333333333333
362,female,group C,some college,standard,none,52,58,58,56.0
363,female,group D,some high school,free/reduced,none,27,34,32,31.0
364,male,group C,some college,standard,none,59,60,58,59.0
365,male,group A,bachelor's degree,free/reduced,completed,49,58,60,55.666666666666664
366,male,group C,high school,standard,completed,69,58,53,60.0
367,male,group C,bachelor's degree,free/reduced,none,61,66,61,62.666666666666664
368,female,group A,some high school,free/reduced,none,44,64,58,55.333333333333336
369,female,group D,some high school,standard,none,73,84,85,80.66666666666667
370,male,group E,some college,standard,none,84,77,71,77.33333333333333
371,female,group C,some college,free/reduced,completed,45,73,70,62.666666666666664
372,male,group D,some high school,standard,none,74,74,72,73.33333333333333
373,female,group D,some college,standard,completed,82,97,96,91.66666666666667
374,female,group D,bachelor's degree,standard,none,59,70,73,67.33333333333333
375,male,group E,associate's degree,free/reduced,none,46,43,41,43.333333333333336
376,female,group D,some high school,standard,none,80,90,82,84.0
377,female,group D,master's degree,free/reduced,completed,85,95,100,93.33333333333333
378,female,group A,some high school,standard,none,71,83,77,77.0
379,male,group A,bachelor's degree,standard,none,66,64,62,64.0
380,female,group B,associate's degree,standard,none,80,86,83,83.0
381,male,group C,associate's degree,standard,completed,87,100,95,94.0
382,male,group C,master's degree,free/reduced,none,79,81,71,77.0
383,female,group E,some high school,free/reduced,none,38,49,45,44.0
384,female,group A,some high school,free/reduced,none,38,43,43,41.333333333333336
385,female,group E,some college,standard,none,67,76,75,72.66666666666667
386,female,group E,bachelor's degree,standard,none,64,73,70,69.0
387,female,group C,associate's degree,free/reduced,none,57,78,67,67.33333333333333
388,female,group D,high school,standard,none,62,64,64,63.333333333333336
389,male,group D,master's degree,standard,none,73,70,75,72.66666666666667
390,male,group E,some high school,free/reduced,completed,73,67,59,66.33333333333333
391,female,group D,some college,standard,none,77,68,77,74.0
392,male,group E,some college,standard,none,76,67,67,70.0
393,male,group C,associate's degree,standard,completed,57,54,56,55.666666666666664
394,female,group C,some high school,standard,completed,65,74,77,72.0
395,male,group A,high school,free/reduced,none,48,45,41,44.666666666666664
396,female,group B,high school,free/reduced,none,50,67,63,60.0
397,female,group C,associate's degree,standard,none,85,89,95,89.66666666666667
398,male,group B,some high school,standard,none,74,63,57,64.66666666666667
399,male,group D,some high school,standard,none,60,59,54,57.666666666666664
400,female,group C,some high school,standard,completed,59,54,67,60.0
401,male,group A,some college,standard,none,53,43,43,46.333333333333336
402,female,group A,some college,free/reduced,none,49,65,55,56.333333333333336
403,female,group D,high school,standard,completed,88,99,100,95.66666666666667
404,female,group C,high school,standard,none,54,59,62,58.333333333333336
405,female,group C,some high school,standard,none,63,73,68,68.0
406,male,group B,associate's degree,standard,completed,65,65,63,64.33333333333333
407,female,group B,associate's degree,standard,none,82,80,77,79.66666666666667
408,female,group D,high school,free/reduced,completed,52,57,56,55.0
409,male,group D,associate's degree,standard,completed,87,84,85,85.33333333333333
410,female,group D,master's degree,standard,completed,70,71,74,71.66666666666667
411,male,group E,some college,standard,completed,84,83,78,81.66666666666667
412,male,group D,associate's degree,standard,none,71,66,60,65.66666666666667
413,male,group B,some high school,standard,completed,63,67,67,65.66666666666667
414,female,group C,bachelor's degree,free/reduced,completed,51,72,79,67.33333333333333
415,male,group E,high school,standard,none,84,73,69,75.33333333333333
416,male,group C,bachelor's degree,standard,completed,71,74,68,71.0
417,male,group C,associate's degree,standard,none,74,73,67,71.33333333333333
418,male,group D,some college,standard,none,68,59,62,63.0
419,male,group E,high school,free/reduced,completed,57,56,54,55.666666666666664
420,female,group C,associate's degree,free/reduced,completed,82,93,93,89.33333333333333
421,female,group D,high school,standard,completed,57,58,64,59.666666666666664
422,female,group D,master's degree,free/reduced,completed,47,58,67,57.333333333333336
423,female,group A,some high school,standard,completed,59,85,80,74.66666666666667
424,male,group B,some college,free/reduced,none,41,39,34,38.0
425,female,group C,some college,free/reduced,none,62,67,62,63.666666666666664
426,male,group C,bachelor's degree,standard,none,86,83,86,85.0
427,male,group C,some high school,free/reduced,none,69,71,65,68.33333333333333
428,male,group A,some high school,free/reduced,none,65,59,53,59.0
429,male,group C,some high school,free/reduced,none,68,63,54,61.666666666666664
430,male,group C,associate's degree,free/reduced,none,64,66,59,63.0
431,female,group C,high school,standard,none,61,72,70,67.66666666666667
432,male,group C,high school,standard,none,61,56,55,57.333333333333336
433,female,group A,some high school,free/reduced,none,47,59,50,52.0
434,male,group C,some high school,standard,none,73,66,66,68.33333333333333
435,male,group C,some college,free/reduced,completed,50,48,53,50.333333333333336
436,male,group D,associate's degree,standard,none,75,68,64,69.0
437,male,group D,associate's degree,free/reduced,none,75,66,73,71.33333333333333
438,male,group C,high school,standard,none,70,56,51,59.0
439,male,group D,some high school,standard,completed,89,88,82,86.33333333333333
440,female,group C,some college,standard,completed,67,81,79,75.66666666666667
441,female,group D,high school,standard,none,78,81,80,79.66666666666667
442,female,group A,some high school,free/reduced,none,59,73,69,67.0
443,female,group B,associate's degree,standard,none,73,83,76,77.33333333333333
444,male,group A,some high school,free/reduced,none,79,82,73,78.0
445,female,group C,some high school,standard,completed,67,74,77,72.66666666666667
446,male,group D,some college,free/reduced,none,69,66,60,65.0
447,male,group C,high school,standard,completed,86,81,80,82.33333333333333
448,male,group B,high school,standard,none,47,46,42,45.0
449,male,group B,associate's degree,standard,none,81,73,72,75.33333333333333
450,female,group C,some college,free/reduced,completed,64,85,85,78.0
451,female,group E,some college,standard,none,100,92,97,96.33333333333333
452,female,group C,associate's degree,free/reduced,none,65,77,74,72.0
453,male,group C,some college,free/reduced,none,65,58,49,57.333333333333336
